id,class,orbital_period,transit_duration,transit_depth,planet_radius,equilibrium_temperature,insolation_flux,stellar_effective_temperature,stellar_surface_gravity,stellar_radius,ra,dec
2734,CONFIRMED,35.58349688,3.9885,937.6,2.03,408.0,6.54,4894.0,4.637,0.684,297.27188,43.333309
2735,CONFIRMED,15.77111067,5.0574,547.1,2.62,752.0,75.61,5620.0,4.333,1.143,282.39194,43.889351
2736,CONFIRMED,157.0659976,8.1289,551.4,2.63,350.0,3.53,5620.0,4.333,1.143,282.39194,43.889351
2737,CONFIRMED,7.305706326,1.4228,264.9,2.11,972.0,210.72,5620.0,4.333,1.143,282.39194,43.889351
2738,CONFIRMED,38.90787517,4.5271,6159.1,7.98,523.0,17.66,5779.0,4.491,0.956,285.57397,38.400902
2739,CANDIDATE,1.951082219,1.6975,1151.8,10.35,2005.0,3822.26,5302.0,3.768,2.426,296.51059,42.54744
2740,CONFIRMED,1.59295975,1.9313,248.3,1.48,1517.0,1251.43,5779.0,4.491,0.956,285.57397,38.400902
2741,FALSE POSITIVE,4.94402197,4.062,363.3,32.92,1419.0,958.29,6013.0,4.035,1.7,292.6933,37.705513
2742,FALSE POSITIVE,6.71725648,2.5207,272.7,2.78,1264.0,603.71,6078.0,4.094,1.683,292.05676,37.776192
2743,CANDIDATE,23.1375919,3.35,114.0,1.83,837.0,115.86,6078.0,4.094,1.683,292.05676,37.776192
2744,CONFIRMED,6.07032548,1.341,311.6,1.36,789.0,91.45,5076.0,4.598,0.763,291.6756,48.762562
2745,FALSE POSITIVE,1.33256952,2.915,163.5,1.06,1461.0,1076.99,5547.0,4.571,0.82,294.96246,46.676289
2746,CANDIDATE,18.9763286,2.379,329.8,2.24,638.0,39.11,5300.0,4.385,0.986,298.75836,41.159882
2747,CANDIDATE,6.34724702,3.097,159.8,1.35,919.0,168.14,5300.0,4.385,0.986,298.75836,41.159882
2748,FALSE POSITIVE,7.19552624,4.095,214.6,1.67,1037.0,273.05,6242.0,4.432,1.093,289.09106,40.751122
2749,CONFIRMED,7.36272124,1.3287,429.3,1.86,901.0,155.72,5868.0,4.53,0.894,293.82663,38.856621
2750,CONFIRMED,10.6761592,4.594,151.0,1.79,1049.0,285.79,6460.0,4.267,1.434,297.64227,49.594978
2751,CONFIRMED,4.48494315,2.752,134.9,1.23,1199.0,488.22,6217.0,4.437,1.051,285.36624,49.044868
2752,CANDIDATE,10.76800074,3.494,65.1,0.92,885.0,144.85,5874.0,4.338,1.096,298.57687,44.621609
2753,CANDIDATE,4.32848303,2.955,35.5,0.66,1199.0,488.23,5874.0,4.338,1.096,298.57687,44.621609
2754,CONFIRMED,49.3567907,10.954,130.2,1.91,637.0,38.86,5862.0,4.05,1.67,289.08606,41.562958
2755,CONFIRMED,22.20809549,7.3327,463.2,3.02,803.0,98.36,6336.0,4.266,1.403,298.81638,43.998039
2756,CONFIRMED,38.5833679,12.391,1388.2,8.56,761.0,79.08,6273.0,4.04,1.927,288.15399,44.068821
2757,CANDIDATE,46.15119482,6.3427,1817.3,10.02,703.0,57.8,5877.0,3.927,1.963,290.11752,44.87294
2758,FALSE POSITIVE,4.79179893,2.9283,123.9,26.26,1249.0,575.43,6499.0,4.408,1.103,295.94781,44.827831
2759,CONFIRMED,2.426304127,2.6624,185.4,1.41,1302.0,679.12,5678.0,4.484,0.97,291.84805,44.96822
2760,CANDIDATE,4.780327581,2.0253,960.8,7.14,1441.0,1020.05,5937.0,4.012,1.787,289.73972,44.647419
2761,FALSE POSITIVE,3.741231778,2.469,419.0,1.55,951.0,193.55,5206.0,4.598,0.767,290.70102,38.954681
2762,FALSE POSITIVE,1.168310132,1.31,283.3,1.43,1577.0,1469.16,5509.0,4.487,0.857,291.12799,38.914688
2763,FALSE POSITIVE,25.9525478,21.328,478.4,74.69,865.0,132.4,5211.0,3.715,2.721,293.67245,38.985699
2764,CONFIRMED,33.4160553,8.605,275.8,2.98,689.0,53.18,6007.0,4.178,1.42,287.97577,39.087181
2765,CONFIRMED,12.6119685,6.372,76.5,1.33,953.0,194.9,6007.0,4.178,1.42,287.97577,39.087181
2766,CANDIDATE,7.64809462,2.216,195.9,1.19,840.0,117.65,5641.0,4.554,0.85,292.22739,42.451969
2767,CONFIRMED,0.636424848,0.947,217.9,1.31,1846.0,2754.93,5343.0,4.538,0.885,285.15692,47.873329
2768,FALSE POSITIVE,8.55935323,4.303,148.8,1.21,921.0,169.77,6115.0,4.462,0.919,287.12234,42.70694
2769,CANDIDATE,31.0209175,2.012,859.5,1.66,291.0,1.7,3720.0,4.764,0.48,286.98013,38.165218
2771,CANDIDATE,2.118893997,0.822,311.4,1.41,1230.0,541.53,5504.0,4.583,0.796,288.21072,42.556808
2772,CONFIRMED,2.46050095,1.861,276.8,1.03,969.0,208.54,4811.0,4.626,0.634,289.69748,43.372089
2773,CANDIDATE,7.49133777,6.315,34.5,1.01,1291.0,656.15,6177.0,3.993,1.71,294.71677,45.781269
2774,CONFIRMED,5.8660127,3.985,183.0,1.45,1064.0,302.77,6020.0,4.427,1.04,292.65839,49.865189
2775,CONFIRMED,23.9107056,4.996,294.0,1.91,709.0,59.76,6338.0,4.418,1.091,295.52417,49.829552
2776,FALSE POSITIVE,23.836808884,6.02854,29685.0,59.31,919.0,168.28,6095.0,3.894,1.94,296.55386,43.543179
2777,CONFIRMED,4.62334491,3.0189,62.0,0.77,1050.0,287.25,5678.0,4.484,0.97,291.84805,44.96822
2778,FALSE POSITIVE,5.888835386,3.7988,19466.0,584.67,1008.0,243.87,5780.0,4.438,1.0,290.20993,45.251904
2779,CONFIRMED,5.83599485,2.062,553.3,1.92,884.0,144.5,5423.0,4.542,0.828,284.06113,45.506851
2780,FALSE POSITIVE,1.089077863,2.4676,133.6,1.96,2359.0,7312.11,6280.0,4.098,1.551,288.02454,46.30587
2781,FALSE POSITIVE,7.86335883,3.4303,467.3,7.84,1195.0,482.18,5731.0,4.005,1.913,297.30969,46.449471
2782,FALSE POSITIVE,8.0970583,5.699,680.7,4.83,1203.0,495.31,6573.0,4.2,1.455,293.44879,37.722641
2783,FALSE POSITIVE,6.337614357,1.742,1807.4,9.57,1351.0,787.89,6581.0,4.138,1.536,290.20364,38.374931
2784,FALSE POSITIVE,3.900140077,3.77,543.1,23.78,1253.0,582.32,6407.0,4.48,0.955,290.34735,38.377899
2785,CONFIRMED,5.0800579,5.207,222.8,3.95,1673.0,1851.94,6049.0,3.769,2.52,294.14966,38.458271
2786,CONFIRMED,13.14496741,3.6399,300.8,1.59,698.0,56.15,5411.0,4.477,0.888,292.21509,38.548592
2787,CONFIRMED,16.09196369,2.8943,415.8,2.13,718.0,62.74,5680.0,4.414,1.016,288.53082,40.942299
2788,FALSE POSITIVE,161.239891,24.472,1075.4,3.48,294.0,1.77,5514.0,4.569,0.826,298.97055,40.382729
2789,CANDIDATE,5.4654174,3.209,219.5,1.23,927.0,174.08,5612.0,4.566,0.829,287.60223,42.075741
2790,CONFIRMED,1.4951513,3.43,52.0,1.44,1870.0,2880.38,5635.0,4.117,1.452,298.66348,43.89407
2791,CONFIRMED,20.3504704,7.225,101.8,1.01,695.0,55.07,5952.0,4.41,1.002,290.94989,40.605221
2792,CANDIDATE,6.06664931,1.962,65.3,0.87,915.0,165.66,5569.0,4.521,0.892,292.1218,41.927029
2793,CANDIDATE,2.184437698,1.0422,1546.8,0.94,529.0,18.41,3421.0,5.014,0.25,296.58719,40.722988
2794,CONFIRMED,4.13592927,2.377,156.2,1.43,1226.0,535.42,5886.0,4.345,1.152,287.36328,49.45689
2795,CONFIRMED,8.05337912,5.382,38.3,1.28,1320.0,717.7,6231.0,3.976,2.062,295.53839,51.202961
2796,CANDIDATE,15.2311195,3.91,269.1,1.94,800.0,96.84,5836.0,4.316,1.186,301.04813,44.037689
2797,FALSE POSITIVE,23.6272223,7.9,154.6,3.84,1358.0,804.44,8308.0,3.861,2.879,299.22189,44.180519
2798,FALSE POSITIVE,8.97349999,3.1408,935.1,36.0,2262.0,6178.9,4751.0,2.52,11.536,286.65604,46.783543
2799,FALSE POSITIVE,108.546946,7.567,711.3,29.67,985.0,222.7,4751.0,2.52,11.536,286.65604,46.783543
2800,CONFIRMED,3.254277742,2.9903,159.9,1.38,1301.0,675.56,5945.0,4.402,1.089,287.36948,46.768219
2801,CONFIRMED,91.3514816,8.707,210.0,1.57,428.0,7.93,5945.0,4.402,1.089,287.36948,46.768219
2802,FALSE POSITIVE,2.250826647,1.536,534.4,30.03,1489.0,1161.8,5779.0,4.308,1.119,293.57629,46.775471
2803,CONFIRMED,31.1588249,5.1803,959.0,3.56,639.0,39.46,5951.0,4.319,1.155,294.11075,38.710232
2804,FALSE POSITIVE,0.436282594,1.3988,536.4,83.25,5187.0,170399.16,8491.0,3.853,2.622,298.70923,47.840019
2805,CONFIRMED,76.7324556,6.243,685.7,3.08,473.0,11.86,5951.0,4.319,1.155,294.11075,38.710232
2806,CONFIRMED,13.89963233,3.5791,1121.7,2.46,521.0,17.37,4538.0,4.607,0.663,287.21872,38.862522
2807,CONFIRMED,6.14955931,5.5694,333.7,3.26,1287.0,649.26,5687.0,3.973,1.775,284.70691,38.936821
2808,CANDIDATE,4.8099878,1.97,288.2,1.59,1077.0,317.8,5988.0,4.507,0.934,289.56802,41.771561
2809,CANDIDATE,5.08288076,2.515,108.0,1.15,1183.0,462.96,6217.0,4.375,1.083,295.46259,39.16848
2810,CANDIDATE,31.0259489,5.692,385.4,1.91,595.0,29.67,6075.0,4.486,0.969,294.16644,44.886311
2811,CANDIDATE,3.08942807,3.214,85.3,1.07,1361.0,808.76,6137.0,4.418,1.103,293.43079,46.692089
2812,CONFIRMED,44.8702042,4.199,636.1,2.56,536.0,19.5,6122.0,4.471,0.996,289.67856,40.249641
2813,FALSE POSITIVE,4.8807805,9.4,79.0,0.48,706.0,58.98,4763.0,4.738,0.516,296.25168,39.18399
2814,CONFIRMED,4.45342418,3.654,46.6,0.9,1331.0,740.51,6256.0,4.269,1.269,291.17328,44.921131
2815,FALSE POSITIVE,2.21396685,4.374,81.6,0.84,1418.0,952.61,5986.0,4.461,0.93,284.29959,42.604321
2816,CONFIRMED,9.705693,7.702,140.8,2.07,1001.0,237.46,5808.0,4.178,1.385,297.71158,46.768021
2817,CANDIDATE,21.2360024,4.019,104.4,2.62,1048.0,285.21,6035.0,3.745,2.559,292.47977,43.227024
2818,CONFIRMED,8.31377304,2.964,837.4,2.74,886.0,145.51,5900.0,4.509,0.951,292.24902,46.164822
2819,FALSE POSITIVE,8.58969597,8.471,245.1,20.8,882.0,143.02,6024.0,4.523,0.9,298.81821,46.94035
2820,CONFIRMED,7.97420583,5.3503,293.1,1.85,974.0,212.75,5973.0,4.386,1.081,296.85922,49.162048
2821,CONFIRMED,1.88899036,3.486,59.0,0.83,1574.0,1449.92,5973.0,4.386,1.081,296.85922,49.162048
2822,CONFIRMED,18.68405716,6.9329,381.5,3.64,832.0,113.34,5548.0,4.038,1.614,296.18344,47.358761
2823,CONFIRMED,21.41624083,7.081,314.5,2.09,748.0,74.2,6156.0,4.331,1.18,294.02911,39.051849
2824,FALSE POSITIVE,12.28351275,3.634,597.8,74.76,1342.0,765.56,6171.0,3.668,2.759,292.03107,39.24548
2825,CONFIRMED,4.72674037,2.9267,273.1,1.56,1028.0,264.08,5648.0,4.472,0.894,291.4183,38.672359
2826,FALSE POSITIVE,6.77449545,2.5416,481.9,29.41,1219.0,521.03,6517.0,4.265,1.342,293.57086,39.25264
2827,CANDIDATE,14.591504451,1.1295,1490.5,36.85,879.0,140.82,5940.0,4.199,1.312,288.75781,39.350571
2828,FALSE POSITIVE,27.677680103,2.1704,11545.0,14.41,618.0,34.55,6075.0,4.486,0.969,294.5123,39.462139
2829,FALSE POSITIVE,0.605223042,0.8986,232.3,1.14,1728.0,2099.47,5089.0,4.559,0.757,298.78799,45.77422
2830,CONFIRMED,25.5172744,4.735,66.8,0.83,615.0,33.91,5680.0,4.414,1.016,288.53082,40.942299
2831,CONFIRMED,4.73292061,1.746,151.6,0.97,957.0,198.57,5595.0,4.581,0.796,293.61926,46.413342
2832,CONFIRMED,22.4765952,3.437,481.4,1.21,419.0,7.27,4563.0,4.704,0.567,282.9975,41.678551
2833,CANDIDATE,1.242639742,1.763,159.3,1.02,1487.0,1159.26,5520.0,4.572,0.818,298.44647,40.624882
2834,FALSE POSITIVE,25.503628,3.913,204.4,1.61,586.0,27.85,5815.0,4.54,0.877,296.04401,42.454708
2835,CONFIRMED,14.8638496,2.705,220.6,2.9,620.0,35.04,5159.0,4.508,0.8,280.70853,47.32806
2836,CONFIRMED,5.65245733,2.062,121.0,1.05,856.0,127.1,5159.0,4.508,0.8,280.70853,47.32806
2837,CONFIRMED,10.9294815,5.893,196.9,1.21,770.0,83.14,5792.0,4.547,0.864,291.86493,49.32592
2838,CANDIDATE,0.536650319,2.383,41.9,1.35,3195.0,24688.55,6020.0,3.922,2.0,297.32971,46.136089
2839,CONFIRMED,5.45849914,4.0448,255.9,1.91,1099.0,344.32,5914.0,4.396,1.135,297.65094,47.39629
2840,CONFIRMED,13.28536452,6.283,377.6,4.03,1157.0,423.65,6534.0,3.973,1.9,290.95792,47.406281
2841,FALSE POSITIVE,8.4879444,3.224,119.3,1.23,969.0,208.99,6134.0,4.396,1.039,280.88184,47.564243
2842,FALSE POSITIVE,46.56675437,7.831,801.1,5.25,708.0,59.34,6629.0,4.132,1.619,291.81857,47.675282
2843,FALSE POSITIVE,19.5148412,3.096,102.7,2.8,1200.0,489.75,7004.0,3.854,2.556,283.91089,47.787048
2844,CONFIRMED,15.4130812,6.6358,264.3,2.59,944.0,187.39,6206.0,4.159,1.573,295.48651,51.0135
2845,CONFIRMED,4.82051088,3.588,40.9,1.08,1328.0,735.25,6046.0,4.158,1.396,292.57779,40.667858
2846,CANDIDATE,6.09595681,5.502,65.7,1.26,1259.0,593.42,6313.0,4.228,1.467,297.39371,39.829041
2847,CANDIDATE,13.2511214,4.996,266.5,1.98,850.0,123.32,5850.0,4.297,1.217,290.73447,45.297791
2848,FALSE POSITIVE,5.76556718,3.138,213.3,1.66,1120.0,371.86,6218.0,4.404,1.072,289.29266,40.270611
2849,CANDIDATE,11.682369,2.71,234.5,1.45,802.0,97.62,6089.0,4.527,0.889,295.19968,46.832321
2850,CANDIDATE,10.12956201,3.044,81.3,0.78,736.0,69.43,5383.0,4.528,0.842,295.09027,45.081181
2851,CONFIRMED,15.6112238,3.873,113.5,0.91,637.0,38.99,5383.0,4.528,0.842,295.09027,45.081181
2852,CONFIRMED,42.5217006,5.723,685.6,2.45,510.0,15.97,5911.0,4.519,0.914,292.25464,37.97142
2853,FALSE POSITIVE,0.566805887,5.2317,1.7,0.08,1554.0,1368.32,5000.0,4.708,0.549,291.60175,42.86388
2854,CONFIRMED,6.69958851,2.831,253.7,1.24,806.0,99.83,5296.0,4.586,0.799,296.20383,42.777828
2855,FALSE POSITIVE,14.170972781,3.7316,13496.0,20.88,1288.0,650.07,8347.0,4.231,1.715,296.935,44.850269
2856,FALSE POSITIVE,1.332562831,6.24,297.9,24.29,1532.0,1301.29,5718.0,4.549,0.863,295.21036,46.749321
2857,CONFIRMED,2.39161966,1.906,189.2,0.93,1031.0,266.01,4935.0,4.589,0.685,290.88931,42.45966
2858,CONFIRMED,5.68879083,2.55,241.5,0.99,645.0,40.88,4234.0,4.63,0.639,296.61725,41.281189
2859,CONFIRMED,2.31941571,1.591,96.4,1.24,1490.0,1164.84,5624.0,4.256,1.248,289.28979,40.681671
2860,CONFIRMED,19.7830259,5.4898,373.2,2.1,708.0,59.39,5747.0,4.335,1.099,295.68481,47.748081
2861,FALSE POSITIVE,10.431146765,3.8853,29376.0,50.44,833.0,114.02,5780.0,4.438,1.0,295.91885,41.332432
2862,CONFIRMED,7.0106324,3.0688,327.3,1.5,738.0,70.32,4908.0,4.567,0.782,297.97089,47.731682
2863,CONFIRMED,3.10762684,2.361,77.2,0.73,968.0,207.72,4908.0,4.567,0.782,297.97089,47.731682
2864,CONFIRMED,1.980356674,2.4743,271.9,2.1,1662.0,1808.41,6078.0,4.29,1.189,285.88837,47.880379
2865,CONFIRMED,12.8344771,3.846,281.0,2.55,891.0,149.42,6078.0,4.29,1.189,285.88837,47.880379
2866,FALSE POSITIVE,175.329014,6.269,1059.1,27.03,327.0,2.69,6008.0,4.499,0.93,291.78754,42.469528
2867,CANDIDATE,21.61313362,1.52,818.1,1.94,503.0,15.14,5267.0,4.681,0.632,290.22067,41.868721
2868,CONFIRMED,2.7881793,3.397,55.8,1.02,1510.0,1228.07,5758.0,4.168,1.385,294.86618,48.638981
2869,CONFIRMED,4.13827684,3.449,63.8,1.13,1324.0,725.53,5758.0,4.168,1.385,294.86618,48.638981
2870,FALSE POSITIVE,2.61846258,3.505,275.3,1.03,843.0,119.68,4266.0,4.626,0.643,299.03448,47.90485
2871,CONFIRMED,29.72722,3.45,1010.2,3.02,557.0,22.7,5815.0,4.54,0.877,291.40945,38.340019
2872,CONFIRMED,18.01019956,3.516,177.7,1.93,758.0,77.99,5931.0,4.322,1.101,283.23581,41.34304
2873,CONFIRMED,10.61368712,3.498,559.8,2.06,785.0,89.65,5815.0,4.54,0.877,291.40945,38.340019
2874,FALSE POSITIVE,7.53887442,3.147,342.1,1.33,751.0,75.14,5318.0,4.601,0.667,299.72845,44.031811
2875,FALSE POSITIVE,0.53633519,1.0547,444.1,1.81,1974.0,3603.58,5508.0,4.569,0.84,298.65317,47.713711
2876,CANDIDATE,27.9430245,6.125,308.6,2.21,718.0,62.74,6468.0,4.363,1.25,292.80722,38.884232
2877,CONFIRMED,8.07394097,2.455,1056.0,1.59,420.0,7.33,3675.0,4.869,0.398,285.73981,40.980049
2878,CONFIRMED,4.53702121,1.813,504.4,1.66,798.0,95.61,4805.0,4.633,0.688,290.61798,37.289089
2879,CANDIDATE,0.977311489,1.403,250.7,1.06,1331.0,737.36,4805.0,4.633,0.688,290.61798,37.289089
2880,CONFIRMED,39.859505,7.987,155.5,1.62,597.0,29.97,5675.0,4.209,1.292,285.34695,48.312248
2881,FALSE POSITIVE,23.6731242,14.3948,23113.0,17.74,676.0,49.42,5769.0,4.338,1.177,297.66467,47.801392
2882,CONFIRMED,7.170710381,2.9225,863.3,2.73,890.0,148.09,5497.0,4.437,0.941,297.96155,48.244362
2883,CONFIRMED,4.699652821,2.553,351.4,1.74,1024.0,260.54,5497.0,4.437,0.941,297.96155,48.244362
2884,CONFIRMED,4.761705895,3.3061,497.1,2.75,1201.0,491.37,5794.0,4.263,1.225,295.1189,48.481281
2885,CONFIRMED,2.024143568,2.5273,239.4,1.94,1597.0,1535.09,5794.0,4.263,1.225,295.1189,48.481281
2886,FALSE POSITIVE,1.371288853,1.4528,66.2,1.15,1837.0,2695.6,6220.0,4.378,1.108,293.0708,37.98687
2887,CONFIRMED,11.87290814,2.5342,332.7,2.25,863.0,131.55,6147.0,4.412,1.04,286.68945,39.21191
2888,CONFIRMED,1.638652525,1.952,166.9,1.29,1610.0,1585.07,6119.0,4.472,0.981,293.31168,46.04171
2889,CONFIRMED,9.06687613,3.381,367.2,1.9,725.0,65.52,5142.0,4.515,0.789,286.27167,45.440811
2890,CONFIRMED,4.0223109,0.853,227.8,1.37,1017.0,253.28,5516.0,4.544,0.827,290.04388,44.370602
2891,CONFIRMED,6.9131732,4.73,39.1,0.91,1209.0,505.0,6296.0,4.21,1.444,286.5806,48.544189
2892,CONFIRMED,7.32851947,1.211,277.8,2.33,807.0,100.13,5135.0,4.464,0.874,297.04208,39.912231
2893,CONFIRMED,18.6052046,6.829,242.5,1.94,833.0,113.88,6572.0,4.365,1.238,293.8902,48.336121
2894,FALSE POSITIVE,1.332562787,6.28,1111.9,29.1,1703.0,1983.27,6091.0,4.487,0.967,295.26227,46.78138
2895,CANDIDATE,0.896382269,1.113,136.4,1.0,1810.0,2524.81,5837.0,4.502,0.843,298.53967,40.183659
2896,CONFIRMED,39.4420781,7.029,172.4,2.51,682.0,51.14,5430.0,3.923,1.902,293.71912,43.124592
2897,CONFIRMED,10.27532513,6.3093,209.7,3.04,1211.0,508.21,6150.0,3.96,2.086,293.71646,46.226654
2898,FALSE POSITIVE,11.50528603,2.098,260.2,1.83,912.0,163.79,6355.0,4.41,1.108,296.11734,47.879829
2899,CONFIRMED,26.62941953,7.8709,492.8,3.13,742.0,71.75,5866.0,4.117,1.417,282.94565,47.574905
2900,CONFIRMED,296.6375817,16.425,2763.1,7.56,332.0,2.88,5866.0,4.117,1.417,282.94565,47.574905
2901,CONFIRMED,41.8085031,7.797,190.4,1.67,582.0,27.15,5794.0,4.263,1.225,295.1189,48.481281
2902,FALSE POSITIVE,2.98786272,2.5814,42789.0,17.82,1064.0,303.15,5231.0,4.544,0.821,294.97745,38.678352
2903,CONFIRMED,39.30944096,5.77,1132.1,2.87,488.0,13.46,5607.0,4.536,0.863,283.34027,48.549042
2904,CONFIRMED,29.88487723,4.5612,1275.7,2.81,453.0,9.95,4883.0,4.549,0.749,286.52481,48.683601
2905,CONFIRMED,12.92489803,2.6811,959.0,2.62,620.0,34.95,5103.0,4.584,0.768,298.66092,48.606369
2906,CANDIDATE,11.45541896,4.95,68.6,1.12,975.0,213.86,6231.0,4.276,1.356,299.707,43.622601
2907,FALSE POSITIVE,0.575884418,2.0734,272.2,31.17,2397.0,7790.32,6290.0,4.442,1.044,300.71927,45.09605
2908,FALSE POSITIVE,0.562555067,1.7402,198.3,1.21,2046.0,4128.4,5793.0,4.561,0.832,293.53629,39.69009
2909,CANDIDATE,44.433726,6.118,239.6,1.85,538.0,19.73,5596.0,4.298,1.145,296.19614,45.634331
2910,FALSE POSITIVE,0.993703494,0.7645,67.4,2.32,3257.0,26588.4,6854.0,3.808,2.715,293.98346,39.43042
2911,CONFIRMED,6.33125228,2.688,306.6,1.31,822.0,108.04,5383.0,4.603,0.759,299.08099,42.018139
2912,CONFIRMED,24.2204192,3.271,806.3,2.1,505.0,15.43,5165.0,4.599,0.761,294.29004,39.126869
2913,FALSE POSITIVE,30.9597053,5.42,410.7,16.63,438.0,8.67,4947.0,4.621,0.714,295.06442,39.960659
2914,CONFIRMED,6.41491277,3.3629,121.0,1.4,1069.0,309.12,5931.0,4.322,1.101,283.23581,41.34304
2915,FALSE POSITIVE,93.881556,20.644,188.7,2.02,479.0,12.42,5676.0,4.1,1.487,295.92065,47.448608
2916,CANDIDATE,3.91679553,2.072,161.3,0.85,851.0,123.73,4889.0,4.637,0.686,290.26028,38.354988
2917,CANDIDATE,43.1024434,7.124,299.8,1.88,539.0,19.96,5741.0,4.365,1.097,297.03922,39.785259
2918,FALSE POSITIVE,2.683395376,1.8592,234.7,2.55,1860.0,2833.83,6958.0,4.195,1.529,298.04419,47.627918
2919,CONFIRMED,31.51779463,7.634,357.6,2.72,663.0,45.68,5611.0,4.144,1.4,297.27798,48.320332
2920,CONFIRMED,8.12999858,2.1492,148.0,2.04,1041.0,277.89,5611.0,4.144,1.4,297.27798,48.320332
2921,CANDIDATE,31.4452709,1.758,531.1,4.55,721.0,63.78,6172.0,4.198,1.471,297.47711,39.877239
2922,FALSE POSITIVE,66.46746217,19.6638,12644.0,11.97,466.0,11.18,5843.0,4.403,1.073,300.15186,45.089611
2923,CONFIRMED,2.586639524,2.253,217.7,1.44,1328.0,735.48,5780.0,4.421,0.966,287.32663,48.673431
2924,FALSE POSITIVE,2.671942657,1.9119,15942.0,22.36,1458.0,1069.47,6116.0,4.335,1.055,291.15738,48.861145
2925,CONFIRMED,28.51117639,4.5941,1844.6,3.27,423.0,7.55,4687.0,4.627,0.69,293.68573,48.825142
2926,CONFIRMED,14.38682567,2.1417,569.6,2.54,776.0,85.46,5725.0,4.353,1.072,286.85266,49.261681
2927,CANDIDATE,8.85686712,0.606,319.2,1.88,714.0,61.54,5017.0,4.516,0.797,292.4404,43.209431
2928,CANDIDATE,12.99065074,2.3748,392.3,2.02,790.0,92.12,5787.0,4.402,1.027,287.86142,49.264462
2929,CONFIRMED,331.5972732,14.404,8322.1,10.89,294.0,1.76,5970.0,4.317,1.2,284.4335,49.305161
2930,CONFIRMED,11.20058855,4.562,219.9,1.7,808.0,100.91,6038.0,4.524,0.898,287.46606,40.75845
2931,FALSE POSITIVE,1.50179931,3.275,100.1,0.72,1229.0,540.71,5024.0,4.613,0.736,295.21753,39.933128
2932,CONFIRMED,17.83367834,4.5112,326.9,2.43,866.0,132.94,6407.0,4.268,1.337,283.1507,45.139832
2933,CONFIRMED,19.55662003,8.087,298.9,2.45,797.0,95.35,5671.0,4.094,1.36,287.655,39.244289
2934,CANDIDATE,82.6595174,3.48,1270.7,2.03,233.0,0.7,3952.0,4.716,0.553,296.73724,44.50148
2935,CONFIRMED,2.03387483,3.097,73.6,1.6,1789.0,2422.92,5282.0,3.913,1.899,291.84781,48.968128
2936,FALSE POSITIVE,5.07538255,1.7,163.1,1.74,1154.0,419.23,5933.0,4.334,1.118,299.44733,41.398121
2937,CONFIRMED,23.9553986,3.204,228.7,2.84,741.0,71.16,5011.0,3.903,1.781,288.24377,41.110081
2938,CANDIDATE,24.3367026,2.539,551.1,1.95,526.0,18.07,5141.0,4.505,0.806,286.76147,38.34351
2939,CANDIDATE,7.40985182,1.131,201.1,1.18,818.0,105.91,5462.0,4.56,0.836,285.7485,44.632462
2940,FALSE POSITIVE,1.02425556,2.6439,1631.7,29.83,1503.0,1211.99,5337.0,4.594,0.764,300.97794,44.089069
2941,FALSE POSITIVE,4.63958598,2.768,83.4,1.52,1587.0,1496.31,6591.0,4.024,1.646,296.35733,48.86372
2942,CANDIDATE,15.5943758,7.367,95.4,1.08,801.0,97.35,6249.0,4.428,1.076,286.97128,44.708302
2943,CONFIRMED,34.4359387,5.82,424.5,2.78,652.0,42.68,5929.0,4.243,1.363,298.26895,48.91674
2944,CONFIRMED,5.317440164,2.9331,292.5,1.94,1105.0,351.52,5923.0,4.377,1.054,284.73904,49.5984
2945,CONFIRMED,10.10575764,2.0138,116.8,1.28,892.0,149.4,5923.0,4.377,1.054,284.73904,49.5984
2946,CONFIRMED,28.86236571,5.4033,449.2,2.53,623.0,35.56,5725.0,4.326,1.088,285.04169,50.075378
2947,CONFIRMED,210.6013843,11.9922,4159.3,7.7,342.0,3.22,5970.0,4.317,1.2,284.4335,49.305161
2948,CANDIDATE,75.731195,4.859,2496.0,3.47,237.0,0.74,3891.0,4.718,0.564,283.33606,47.174541
2949,CONFIRMED,59.7371443,8.0006,566.4,2.84,520.0,17.26,5970.0,4.317,1.2,284.4335,49.305161
2950,FALSE POSITIVE,3.388887193,2.4475,11268.0,10.72,1212.0,511.3,5780.0,4.438,1.0,292.03091,37.773529
2951,CONFIRMED,27.08239734,5.0119,423.2,3.25,703.0,57.77,5857.0,4.204,1.305,298.06769,49.412601
2952,CANDIDATE,152.1060435,7.4517,3688.3,11.58,458.0,10.36,6200.0,4.072,1.64,295.21268,49.56218
2953,CONFIRMED,30.6528935,4.99,269.7,2.86,780.0,87.69,6200.0,4.072,1.64,295.21268,49.56218
2954,FALSE POSITIVE,0.512869432,4.015,2313.0,31.12,2185.0,5384.53,5853.0,4.529,0.895,294.59052,41.94651
2955,CONFIRMED,5.19492747,3.167,272.9,2.03,1238.0,554.37,6415.0,4.374,1.224,290.86771,38.960121
2956,CONFIRMED,15.9314412,2.435,556.7,1.77,596.0,29.83,5380.0,4.616,0.721,296.00943,50.498379
2957,FALSE POSITIVE,1.33251589,4.216,140.5,1.3,1747.0,2207.85,5701.0,4.291,1.068,294.53619,46.50983
2958,CONFIRMED,28.227413,5.782,1113.4,2.82,565.0,24.03,5858.0,4.553,0.849,295.68484,39.256142
2959,FALSE POSITIVE,0.545544979,1.954,92.6,0.93,2240.0,5913.74,6050.0,4.509,0.92,288.14764,43.099709
